	1.2199320663423558E-5
26498	1.9768315344166374E-6	2251
26499	1.9768315344166374E-6	2251
265	1.9768315344166374E-6	0
2650	3.216774403985293E-5	6176
26500	1.9768315344166374E-6	2251
26501	3.657138338670779E-6	30981
26502	1.9768315344166374E-6	26507
26503	1.2199320663423558E-5
26504	1.9768315344166374E-6	2252
26505	1.9768315344166374E-6	2252
26506	1.9768315344166374E-6	2252
26507	3.657138338670779E-6	2252
26508	1.9768315344166374E-6	9384
26509	5.0853991222868E-6	2252
2651	5.971170641404236E-4	19
26510	1.9768315344166374E-6	2252
26511	1.9768315344166374E-6	2252
26512	1.9768315344166374E-6	2252
26513	1.9768315344166374E-6	2252
26514	1.9768315344166374E-6	2252
26515	1.9768315344166374E-6	2252
26516	1.9768315344166374E-6	2252
26517	1.9768315344166374E-6	2253
26518	1.2199320663423558E-5
26519	1.9768315344166374E-6	5114
2652	1.1984938100390763E-4	2655
26520	1.2714343465035381E-5	61347
26521	3.657138338670779E-6	27
26522	1.2199320663423558E-5
26523	1.5861626734669675E-5	2254
26524	1.9768315344166374E-6	2254
26525	1.9768315344166374E-6	6962
26526	1.9768315344166374E-6	2254
26527	1.9768315344166374E-6	2254
26528	3.657138338670779E-6	2254
26529	1.9768315344166374E-6	2254
2653	1.4915193927173526E-5	4123
26530	1.2370994930627497E-5
26531	1.9768315344166374E-6	2254
26532	1.9768315344166374E-6	6869
26533	1.9768315344166374E-6	28
26534	1.9768315344166374E-6	19841
26535	1.9768315344166374E-6	2255
26536	1.9768315344166374E-6	32881
26537	1.9768315344166374E-6	2255
26538	1.9768315344166374E-6	737
26539	1.9768315344166374E-6	2255
2654	1.152411991836149E-4	2631
26540	1.9768315344166374E-6	2236
26541	1.9768315344166374E-6	2256
26542	1.9768315344166374E-6	2256
26543	1.9768315344166374E-6	26547
26544	1.9768315344166374E-6	2256
26545	1.9768315344166374E-6	2256
26546	1.9768315344166374E-6	2256
26547	2.3580089261579134E-5	15275
26548	1.9768315344166374E-6	2257
26549	1.9768315344166374E-6	44
2655	1.7621189402575134E-4	28199
26550	7.727681571976438E-6	30476
26551	1.9768315344166374E-6	5951
26552	1.9768315344166374E-6	2265
26553	1.9768315344166374E-6	2265
26554	2.854137975951812E-5	30921
26555	1.9768315344166374E-6	26557
26556	1.2370994930627497E-5
26557	3.657138338670779E-6	2270
26558	7.017751947179063E-6	35537
26559	1.9768315344166374E-6	2270
2656	8.660447958907258E-4	28202
26560	8.698058751433205E-6	5003
26561	1.9768315344166374E-6	2270
26562	1.9768315344166374E-6	1173
26563	1.9768315344166374E-6	16470
26564	1.9768315344166374E-6	61365
26565	1.2370994930627497E-5
26566	1.2199320663423558E-5
26567	1.2199320663423558E-5	2271
26568	1.9768315344166374E-6	2272
26569	1.9768315344166374E-6	2272
2657	1.9768315344166374E-6	28
26570	1.9768315344166374E-6	2272
26571	1.9768315344166374E-6	2272
26572	1.9768315344166374E-6	2272
26573	1.9768315344166374E-6	2272
26574	1.9768315344166374E-6	2272
26575	1.2370994930627497E-5	61367
26576	1.9768315344166374E-6	2272
26577	1.9768315344166374E-6	2274
26578	2.6689398688060035E-5	61368
26579	3.657138338670779E-6	2274
2658	1.9768315344166374E-6	2497
26580	8.446012730795083E-6	23007
26581	1.2199320663423558E-5
26582	1.9768315344166374E-6	2275
26583	1.9768315344166374E-6	2275
26584	5.3374451429249214E-6	8003
26585	3.298764745584527E-5
26586	1.9768315344166374E-6	61375
26587	1.2199320663423558E-5
26588	1.2370994930627497E-5
26589	1.2199320663423558E-5
2659	7.017751947179063E-6	71466
26590	1.2199320663423558E-5
26591	1.2199320663423558E-5
26592	1.2199320663423558E-5
26593	1.2199320663423558E-5
26594	4.765014158629645E-5
26595	1.9768315344166374E-6	2275
26596	1.2886017732239324E-5	61376
26597	1.9768315344166374E-6	26610
26598	7.017751947179063E-6	5139
26599	3.657138338670779E-6	9292
266	8.446012730795083E-6	4047
2660	1.9768315344166374E-6	13149
26600	1.9768315344166374E-6	3631
26601	1.2542669197831443E-5	61388
26602	1.9768315344166374E-6	2811
26603	1.2370994930627497E-5
26604	1.9768315344166374E-6	2275
26605	7.017751947179063E-6	5896
26606	1.9768315344166374E-6	24688
26607	1.9768315344166374E-6	41568
26608	1.2199320663423558E-5
26609	3.657138338670779E-6	7392
2661	1.9768315344166374E-6	28
26610	1.4819626477681575E-5	61390
26611	3.657138338670779E-6	2275
26612	1.9768315344166374E-6	2275
26613	1.9768315344166374E-6	2275
26614	1.1836031708377812E-5	6557
26615	1.9768315344166374E-6	6565
26616	3.657138338670779E-6	11790
26617	6.299420788360417E-6	2275
26618	1.9768315344166374E-6	26611
26619	3.657138338670779E-6	33216
2662	1.9768315344166374E-6	11677
26620	1.9768315344166374E-6	2275
26621	1.9768315344166374E-6	2275
26622	1.9768315344166374E-6	2275
26623	1.9768315344166374E-6	2275
26624	1.9768315344166374E-6	2275
26625	1.9768315344166374E-6	2275
26626	5.3374451429249214E-6	2565
26627	1.9768315344166374E-6	50010
26628	1.6988936894158595E-5	2276
26629	1.9768315344166374E-6	726
2663	1.9768315344166374E-6	28
26630	1.9768315344166374E-6	125
26631	1.2199320663423558E-5
26632	1.2199320663423558E-5
26633	5.3374451429249214E-6	763
26634	1.2199320663423558E-5
26635	1.9768315344166374E-6	2277
26636	1.2199320663423558E-5
26637	1.2199320663423558E-5
26638	1.2370994930627497E-5
26639	1.2199320663423558E-5
2664	1.9768315344166374E-6	28
26640	1.2542669197831443E-5
26641	1.2199320663423558E-5
26642	1.2542669197831443E-5
26643	1.2199320663423558E-5
26644	1.9768315344166374E-6	737
26645	5.3374451429249214E-6	3985
26646	1.9768315344166374E-6	27564
26647	1.2199320663423558E-5
26648	1.2199320663423558E-5
26649	1.9768315344166374E-6	37132
2665	1.9768315344166374E-6	28
26650	1.9768315344166374E-6	738
26651	1.2199320663423558E-5
26652	1.9768315344166374E-6	27572
26653	1.2199320663423558E-5
26654	1.7975542096103317E-5	61397
26655	4.3454682587626674E-5
26656	2.2636924460913333E-5	31945
26657	1.2199320663423558E-5
26658	9.810054389273863E-5
26659	1.2199320663423558E-5
2666	1.9768315344166374E-6	28
26660	1.2199320663423558E-5
26661	1.9768315344166374E-6	3426
26662	6.331176630845814E-5
26663	1.9768315344166374E-6	5382
26664	1.9768315344166374E-6	2277
26665	1.2199320663423558E-5
26666	1.9768315344166374E-6	6255
26667	1.9768315344166374E-6	26668
26668	3.298764745584527E-5
26669	1.9768315344166374E-6	5931
2667	1.9768315344166374E-6	103
26670	2.2421809792430473E-5
26671	1.9768315344166374E-6	2279
26672	1.2199320663423558E-5
26673	2.2421809792430473E-5
26674	9.011646008777134E-6	3501
26675	1.9768315344166374E-6	2281
26676	1.9768315344166374E-6	2281
26677	7.017751947179063E-6	25237
26678	1.9768315344166374E-6	2281
26679	1.9768315344166374E-6	2281
2668	1.9768315344166374E-6	639
26680	1.9768315344166374E-6	2281
26681	7.979727592614558E-6	25486
26682	1.9768315344166374E-6	2281
26683	1.9768315344166374E-6	2281
26684	1.9768315344166374E-6	21856
26685	7.017751947179063E-6	2284
26686	1.9768315344166374E-6	44090
26687	1.9768315344166374E-6	2284
26688	2.2629919927419684E-5	61415
26689	1.9768315344166374E-6	2284
2669	1.9768315344166374E-6	28
26690	3.657138338670779E-6	11755
26691	1.9768315344166374E-6	17294
26692	1.9768315344166374E-6	11558
26693	1.9768315344166374E-6	4416
26694	3.657138338670779E-6	2284
26695	1.9768315344166374E-6	2284
26696	1.9768315344166374E-6	3806
26697	1.9768315344166374E-6	2284
26698	1.9768315344166374E-6	398
26699	1.9768315344166374E-6	2284
267	1.9768315344166374E-6	5117
2670	1.9768315344166374E-6	398
26700	1.9768315344166374E-6	2284
26701	1.9768315344166374E-6	2284
26702	1.9768315344166374E-6	2284
26703	1.9768315344166374E-6	2284
26704	1.2199320663423558E-5
26705	8.446012730795083E-6	4105
26706	8.446012730795083E-6	2873
26707	1.9768315344166374E-6	6040
26708	1.9768315344166374E-6	26705
26709	1.9768315344166374E-6	4422
2671	3.657138338670779E-6	779
26710	1.2370994930627497E-5	61421
26711	1.9768315344166374E-6	790
26712	1.9768315344166374E-6	14610
26713	1.1798224805282098E-5	9997
26714	1.9768315344166374E-6	9102
26715	1.2370994930627497E-5
26716	5.3374451429249214E-6	2286
26717	1.9768315344166374E-6	26716
26718	1.9768315344166374E-6	9102
26719	1.9768315344166374E-6	2286
2672	1.8805638719415977E-4	141
26720	1.9768315344166374E-6	2286
26721	1.9768315344166374E-6	1617
26722	1.814721636330726E-5	61427
26723	1.9768315344166374E-6	18
26724	1.9768315344166374E-6	2286
26725	1.9768315344166374E-6	2287
26726	1.9768315344166374E-6	61428
26727	3.8592936459931836E-5	61429
26728	1.9768315344166374E-6	10898
26729	7.017751947179063E-6	13634
2673	1.9768315344166374E-6	28228
26730	1.9768315344166374E-6	2287
26731	1.9768315344166374E-6	2287
26732	3.657138338670779E-6	2287
26733	1.2199320663423558E-5
26734	1.9768315344166374E-6	12584
26735	1.9768315344166374E-6	2288
26736	1.9768315344166374E-6	4397
26737	5.3374451429249214E-6	57841
26738	2.834924682718539E-5	4183
26739	1.2302316846558337E-5	61442
2674	3.657138338670779E-6	35
26740	1.9768315344166374E-6	11777
26741	1.0505739478903732E-4	61445
26742	1.9768315344166374E-6	30178
26743	1.9768315344166374E-6	4045
26744	1.9768315344166374E-6	42410
26745	1.9768315344166374E-6	2288
26746	1.9768315344166374E-6	2288
26747	1.9768315344166374E-6	2288
26748	1.9768315344166374E-6	2288
26749	1.2199320663423558E-5
2675	9.874273514411102E-6	3273
26750	1.9768315344166374E-6	2289
26751	3.657138338670779E-6	7632
26752	1.9768315344166374E-6	6371
26753	1.9768315344166374E-6	7632
26754	1.9768315344166374E-6	26751
26755	1.9768315344166374E-6	2289
26756	1.9768315344166374E-6	2289
26757	1.9768315344166374E-6	2289
26758	1.2199320663423558E-5
26759	5.3374451429249214E-6	61452
2676	1.3020648005376982E-5	6769
26760	1.9768315344166374E-6	2290
26761	1.9177261966530905E-5	61455
26762	1.9768315344166374E-6	2290
26763	6.316889559243927E-5	61459
26764	1.9768315344166374E-6	2290
26765	1.318091170361225E-4
26766	1.9768315344166374E-6	12544
26767	1.9768315344166374E-6	2291
26768	3.657138338670779E-6	637
26769	1.6091408690151426E-5	9426
2677	1.9768315344166374E-6	28
26770	1.9768315344166374E-6	2292
26771	1.9768315344166374E-6	27658
26772	1.9768315344166374E-6	2292
26773	1.9768315344166374E-6	2292
26774	8.193966710156963E-6	50959
26775	1.2321333931942634E-4	4501
26776	1.9768315344166374E-6	2301
26777	1.2199320663423558E-5
26778	1.9768315344166374E-6	2302
26779	3.3159321723049215E-5
2678	2.783675325188788E-5	686
26780	1.9768315344166374E-6	2302
26781	1.9768315344166374E-6	2302
26782	3.657138338670779E-6	2302
26783	1.9768315344166374E-6	2302
26784	1.2370994930627497E-5
26785	1.9768315344166374E-6	2303
26786	1.9768315344166374E-6	61469
26787	1.9768315344166374E-6	2303
26788	1.9768315344166374E-6	8171
26789	1.9768315344166374E-6	2303
2679	2.9326555272209703E-5	18
26790	1.9768315344166374E-6	1014
26791	1.9768315344166374E-6	2303
26792	1.9768315344166374E-6	2304
26793	3.657138338670779E-6	15692
26794	4.71306970734727E-5	2307
26795	1.9768315344166374E-6	2307
26796	3.657138338670779E-6	2308
26797	3.657138338670779E-6	3527
26798	1.9768315344166374E-6	15945
26799	1.9768315344166374E-6	2308
268	1.9768315344166374E-6	79
2680	2.5699999535838913E-4	6990
26800	1.9768315344166374E-6	2308
26801	1.9768315344166374E-6	2309
26802	3.657138338670779E-6	44500
26803	1.9768315344166374E-6	26804
26804	3.657138338670779E-6	4810
26805	1.9768315344166374E-6	2425
26806	1.9657859882180842E-5	13258
26807	1.9768315344166374E-6	4810
26808	1.9768315344166374E-6	2312
26809	1.9768315344166374E-6	2313
2681	1.9768315344166374E-6	40
26810	1.9768315344166374E-6	2316
26811	1.9768315344166374E-6	2316
26812	1.9768315344166374E-6	2316
26813	1.9768315344166374E-6	29346
26814	1.9768315344166374E-6	15270
26815	1.9768315344166374E-6	2316
26816	1.9768315344166374E-6	2316
26817	9.874273514411102E-6	2318
26818	3.657138338670779E-6	2318
26819	3.657138338670779E-6	3264
2682	1.8543186355908747E-5	786
26820	1.9768315344166374E-6	18707
26821	1.9768315344166374E-6	1401
26822	1.9768315344166374E-6	13343
26823	1.9768315344166374E-6	2321
26824	1.9768315344166374E-6	2321
26825	1.9768315344166374E-6	2321
26826	1.9768315344166374E-6	2321
26827	1.9768315344166374E-6	2321
26828	1.9768315344166374E-6	2321
26829	1.9768315344166374E-6	2321
2683	3.657138338670779E-6	28
26830	1.9768315344166374E-6	2321
26831	1.9768315344166374E-6	2321
26832	1.9768315344166374E-6	2321
26833	1.9768315344166374E-6	2321
26834	1.9768315344166374E-6	2321
26835	1.9768315344166374E-6	2321
26836	1.2199320663423558E-5
26837	1.9768315344166374E-6	2322
26838	1.2199320663423558E-5
26839	1.9768315344166374E-6	2324
2684	3.657138338670779E-6	13139
26840	1.9768315344166374E-6	2324
26841	3.657138338670779E-6	19358
26842	1.9768315344166374E-6	10505
26843	3.657138338670779E-6	5253
26844	1.2199320663423558E-5
26845	1.2370994930627497E-5
26846	1.9768315344166374E-6	2325
26847	1.9768315344166374E-6	7210
26848	3.657138338670779E-6	2327
26849	1.2199320663423558E-5
2685	3.821044245844552E-4	28254
26850	5.8307281763481E-5
26851	1.2199320663423558E-5
26852	1.2370994930627497E-5
26853	1.0378365555687345E-5	4165
26854	1.2199320663423558E-5
26855	1.9768315344166374E-6	2328
26856	1.9768315344166374E-6	2328
26857	1.9768315344166374E-6	2328
26858	1.9768315344166374E-6	2329
26859	1.9768315344166374E-6	2329
2686	5.8556962400664214E-5	2651
26860	1.9768315344166374E-6	2330
26861	1.9768315344166374E-6	2331
26862	1.9768315344166374E-6	2333
26863	3.657138338670779E-6	2335
26864	3.657138338670779E-6	849
26865	1.9768315344166374E-6	2335
26866	1.9768315344166374E-6	2335
26867	1.2370994930627497E-5	61489
26868	1.9768315344166374E-6	10939
26869	1.9768315344166374E-6	71388
2687	8.352758174198396E-5	4956
26870	1.9768315344166374E-6	12251
26871	1.2199320663423558E-5
26872	1.9768315344166374E-6	2340
26873	1.9768315344166374E-6	2340
26874	1.9768315344166374E-6	19189
26875	1.2050270825920217E-5	26876
26876	1.2219561736448822E-5	681
26877	1.9768315344166374E-6	2340
26878	3.657138338670779E-6	7798
26879	1.9768315344166374E-6	2342
2688	4.334657158724746E-5	4162
26880	1.9768315344166374E-6	2342
26881	1.2199320663423558E-5
26882	1.2370994930627497E-5
26883	1.9768315344166374E-6	2343
26884	6.7657059265409415E-6	20959
26885	1.9768315344166374E-6	2343
26886	3.657138338670779E-6	42037
26887	1.2199320663423558E-5
26888	1.9768315344166374E-6	2344
26889	1.2199320663423558E-5
2689	1.9768315344166374E-6	1190
26890	1.9768315344166374E-6	3260
26891	1.9768315344166374E-6	2344
26892	1.9768315344166374E-6	15419
26893	2.0913177255380273E-5	2349
26894	3.657138338670779E-6	2349
26895	1.9768315344166374E-6	2350
26896	1.9768315344166374E-6	21536
26897	3.657138338670779E-6	2428
26898	1.9768315344166374E-6	12055
26899	1.9768315344166374E-6	2351
269	8.698058751433205E-6	1172
2690	1.4196862768354885E-5	3138
26900	1.2199320663423558E-5
26901	1.9768315344166374E-6	2356
26902	1.9768315344166374E-6	2356
26903	2.1778553124893632E-5	2358
26904	1.9768315344166374E-6	2358
26905	1.9768315344166374E-6	2358
26906	6.513659905902821E-6	7487
26907	1.2199320663423558E-5
26908	1.8318890630511198E-5	61499
26909	1.9768315344166374E-6	2362
2691	1.4602760404278732E-5	28355
26910	1.9768315344166374E-6	36228
26911	1.9768315344166374E-6	2362
26912	1.0798442256750882E-5	5076
26913	1.9768315344166374E-6	2362
26914	1.9768315344166374E-6	2362
26915	1.9768315344166374E-6	2364
26916	1.9768315344166374E-6	2364
26917	1.2199320663423558E-5
26918	1.9768315344166374E-6	2366
26919	1.9768315344166374E-6	2366
2692	7.017751947179063E-6	2113
26920	1.9768315344166374E-6	2366
26921	1.9768315344166374E-6	2366
26922	1.9768315344166374E-6	2366
26923	1.2714343465035381E-5	30886
26924	1.9768315344166374E-6	2366
26925	1.9768315344166374E-6	2366
26926	1.9768315344166374E-6	2367
26927	1.9768315344166374E-6	6516
26928	1.9768315344166374E-6	2369
26929	1.2542669197831443E-5
2693	1.0157807620322631E-4	4957
26930	1.2886017732239324E-5	61503
26931	1.9768315344166374E-6	4771
26932	1.9768315344166374E-6	9397
26933	1.9768315344166374E-6	2371
26934	1.9768315344166374E-6	26425
26935	1.9768315344166374E-6	5354
26936	1.9768315344166374E-6	48819
26937	1.9768315344166374E-6	61504
26938	5.3374451429249214E-6	10504
26939	1.2199320663423558E-5
2694	9.034962736725576E-5	7806
26940	1.2199320663423558E-5
26941	1.2199320663423558E-5
26942	1.2199320663423558E-5
26943	1.9768315344166374E-6	3092
26944	1.9768315344166374E-6	2373
26945	1.9768315344166374E-6	61505
26946	1.9768315344166374E-6	2375
26947	1.9768315344166374E-6	2375
26948	1.9768315344166374E-6	2375
26949	1.9768315344166374E-6	2375
2695	5.0853991222868E-6	737
26950	1.9768315344166374E-6	9642
26951	1.9768315344166374E-6	2375
26952	2.392343779598702E-5	61508
26953	5.3374451429249214E-6	2375
26954	5.3374451429249214E-6	2375
26955	1.9768315344166374E-6	9144
26956	1.9768315344166374E-6	2376
26957	1.9768315344166374E-6	2376
26958	1.9768315344166374E-6	2376
26959	1.9768315344166374E-6	28894
2696	5.51496412251537E-5	19006
26960	1.9768315344166374E-6	2376
26961	1.9768315344166374E-6	3173
26962	1.9768315344166374E-6	3565
26963	1.1208245176856569E-4	2379
26964	1.9768315344166374E-6	2379
26965	1.9768315344166374E-6	2379
26966	2.1813903550389435E-5	2379
26967	1.9768315344166374E-6	33366
26968	1.9768315344166374E-6	2381
26969	1.9768315344166374E-6	2381
2697	1.2264509943462619E-5	6742
26970	1.9768315344166374E-6	2381
26971	2.3108506861246235E-5
26972	5.0853991222868E-6	22232
26973	1.9768315344166374E-6	2384
26974	1.9768315344166374E-6	6147
26975	3.657138338670779E-6	2385
26976	1.9768315344166374E-6	2385
26977	1.9768315344166374E-6	2385
26978	3.657138338670779E-6	4183
26979	1.9768315344166374E-6	2386
2698	3.657138338670779E-6	18
26980	1.9768315344166374E-6	2386
26981	1.9768315344166374E-6	2386
26982	1.9768315344166374E-6	0
26983	3.657138338670779E-6	401
26984	1.2199320663423558E-5
26985	1.2199320663423558E-5
26986	1.9768315344166374E-6	4734
26987	1.2370994930627497E-5
26988	1.9768315344166374E-6	2391
26989	1.9768315344166374E-6	2392
2699	3.657138338670779E-6	4596
26990	1.9768315344166374E-6	4032
26991	1.9768315344166374E-6	2394
26992	1.9768315344166374E-6	2394
26993	1.9768315344166374E-6	22713
26994	1.9768315344166374E-6	2394
26995	1.9768315344166374E-6	2394
26996	5.3374451429249214E-6	61517
26997	1.9768315344166374E-6	2394
26998	1.9768315344166374E-6	2394
26999	1.9768315344166374E-6	2394
27	5.018748614210203E-4	0
270	3.657138338670779E-6	371
2700	5.3374451429249214E-6	28433
27000	1.9768315344166374E-6	2394
27001	1.9768315344166374E-6	2394
27002	1.9768315344166374E-6	2394
27003	1.9768315344166374E-6	2394
27004	1.9768315344166374E-6	2401
27005	5.3374451429249214E-6	17723
27006	1.9768315344166374E-6	2401
27007	1.9768315344166374E-6	11449
27008	1.2199320663423558E-5
27009	1.2370994930627497E-5
2701	3.657138338670779E-6	110
27010	1.9768315344166374E-6	2408
27011	1.2199320663423558E-5
27012	1.2199320663423558E-5
27013	1.2370994930627497E-5
27014	1.2199320663423558E-5
27015	1.2199320663423558E-5
27016	1.9768315344166374E-6	61522
27017	1.2199320663423558E-5
27018	3.1135666384387205E-5
27019	1.9768315344166374E-6	9646
2702	1.1495817395291255E-4	28442
27020	1.2199320663423558E-5
27021	1.9768315344166374E-6	2408
27022	1.2370994930627497E-5
27023	1.2199320663423558E-5
27024	1.2199320663423558E-5
27025	1.2199320663423558E-5
27026	3.657138338670779E-6	8020
27027	1.9768315344166374E-6	10945
27028	1.9768315344166374E-6	118
27029	4.933044839055057E-5
2703	1.4196862768354885E-5	28457
27030	1.9768315344166374E-6	43571
27031	1.9768315344166374E-6	4055
27032	1.9768315344166374E-6	3407
27033	2.2936832594042293E-5
27034	6.7657059265409415E-6	6466
27035	6.7657059265409415E-6	2227
27036	1.2199320663423558E-5
27037	1.2370994930627497E-5
27038	1.9768315344166374E-6	2408
27039	1.9768315344166374E-6	2408
2704	2.8815531965365913E-5	72938
27040	1.9768315344166374E-6	2408
27041	1.9768315344166374E-6	2408
27042	1.9768315344166374E-6	2409
27043	1.9768315344166374E-6	2409
27044	3.657138338670779E-6	8166
27045	1.9768315344166374E-6	27044
27046	1.9768315344166374E-6	2410
27047	1.2370994930627497E-5
27048	1.2370994930627497E-5
27049	5.3374451429249214E-6	1892
2705	1.2058672359941488E-5	28513
27050	1.9768315344166374E-6	25822
27051	3.657138338670779E-6	9479
27052	5.806574359045377E-5	61537
27053	1.6091408690151426E-5	34335
27054	1.3401040533851147E-5	46380
27055	1.982000948879136E-5	4053
27056	1.9768315344166374E-6	7872
27057	1.9768315344166374E-6	7872
27058	1.9768315344166374E-6	34337
27059	1.9768315344166374E-6	27053
2706	5.7946173992449114E-5	790
27060	3.657138338670779E-6	6523
27061	1.9768315344166374E-6	27060
27062	1.2199320663423558E-5
27063	1.2370994930627497E-5
27064	1.9768315344166374E-6	7843
27065	1.9768315344166374E-6	18656
27066	1.9768315344166374E-6	7872
27067	1.9768315344166374E-6	54
27068	3.657138338670779E-6	7872
27069	1.9768315344166374E-6	7872
2707	3.657138338670779E-6	3952
27070	1.9768315344166374E-6	27053
27071	1.9768315344166374E-6	2410
27072	1.9768315344166374E-6	7872
27073	5.0853991222868E-6	7872
27074	1.9768315344166374E-6	33166
27075	1.9768315344166374E-6	2410
27076	1.9768315344166374E-6	20287
27077	8.698058751433205E-6	20136
27078	1.9768315344166374E-6	1719
27079	1.2542669197831443E-5
2708	9.6600343968687E-6	21244
27080	1.2542669197831443E-5
27081	1.9768315344166374E-6	11188
27082	1.0215981914529239E-4
27083	1.9768315344166374E-6	2412
27084	1.2982841102281264E-5	2413
27085	3.657138338670779E-6	2413
27086	1.9768315344166374E-6	10598
27087	1.9768315344166374E-6	2414
27088	1.9768315344166374E-6	2414
27089	1.9768315344166374E-6	8744
2709	2.402665757324161E-5	1000
27090	1.9768315344166374E-6	20213
27091	1.9768315344166374E-6	8495
27092	1.2199320663423558E-5
27093	1.9768315344166374E-6	2418
27094	1.9768315344166374E-6	2419
27095	1.9768315344166374E-6	2419
27096	1.9768315344166374E-6	2419
27097	1.9768315344166374E-6	2419
27098	1.9768315344166374E-6	2419
27099	1.9768315344166374E-6	29988
271	1.9768315344166374E-6	0
2710	2.566075594037876E-5	71383
27100	1.9768315344166374E-6	2420
27101	1.9768315344166374E-6	6989
27102	1.9768315344166374E-6	2420
27103	1.9768315344166374E-6	13269
27104	1.9768315344166374E-6	2420
27105	3.657138338670779E-6	12458
27106	1.4944599296247974E-5	57755
27107	3.657138338670779E-6	2422
27108	1.9768315344166374E-6	27109
27109	5.3374451429249214E-6	15807
2711	1.9768315344166374E-6	12
27110	1.9768315344166374E-6	2422
27111	1.9768315344166374E-6	2422
27112	1.9768315344166374E-6	2395
27113	3.0963992117183256E-5
27114	1.9768315344166374E-6	2424
27115	1.9768315344166374E-6	2424
27116	1.9768315344166374E-6	2424
27117	1.9768315344166374E-6	2424
27118	1.9768315344166374E-6	13393
27119	3.657138338670779E-6	2425
2712	7.017751947179063E-6	29
27120	1.9768315344166374E-6	2425
27121	1.9768315344166374E-6	2425
27122	1.9768315344166374E-6	2425
27123	1.9768315344166374E-6	2425
27124	1.9768315344166374E-6	2425
27125	1.9768315344166374E-6	2425
27126	1.9768315344166374E-6	2425
27127	1.9768315344166374E-6	6684
27128	1.9768315344166374E-6	2427
27129	1.9768315344166374E-6	2427
2713	5.3374451429249214E-6	100
27130	1.9768315344166374E-6	2427
27131	1.9768315344166374E-6	2427
27132	1.9768315344166374E-6	27133
27133	5.3374451429249214E-6	140
27134	1.7067887483691142E-5	21216
27135	1.9768315344166374E-6	2428
27136	1.9768315344166374E-6	28367
27137	1.9768315344166374E-6	2120
27138	1.2542669197831443E-5
27139	1.9768315344166374E-6	27156
2714	2.0685877067487806E-4	5278
27140	1.9768315344166374E-6	2429
27141	1.9768315344166374E-6	27155
27142	1.1798224805282094E-5	61580
27143	3.657138338670779E-6	2798
27144	1.9768315344166374E-6	18863
27145	1.9768315344166374E-6	10485
27146	3.657138338670779E-6	28006
27147	1.9768315344166374E-6	20953
27148	1.2370994930627497E-5
27149	1.9768315344166374E-6	2429
2715	1.9768315344166374E-6	59
27150	2.1790571042904928E-5	18867
27151	7.94192068951884E-6	11677
27152	2.119444862676576E-5	27150
27153	1.2542669197831443E-5
27154	1.2199320663423558E-5
27155	3.657138338670779E-6	2429
27156	3.657138338670779E-6	2429
27157	1.9768315344166374E-6	2430
27158	1.9768315344166374E-6	2430
27159	1.9768315344166374E-6	2430
2716	1.9768315344166374E-6	1460
27160	1.9768315344166374E-6	3120
27161	6.7657059265409415E-6	2432
27162	1.9768315344166374E-6	23998
27163	3.657138338670779E-6	6131
27164	1.9768315344166374E-6	2432
27165	6.7657059265409415E-6	4379
27166	1.9768315344166374E-6	25966
27167	1.9768315344166374E-6	4379
27168	1.9768315344166374E-6	2432
27169	3.657138338670779E-6	27165
2717	1.9768315344166374E-6	29
27170	1.9768315344166374E-6	27169
27171	1.9768315344166374E-6	16292
27172	1.2199320663423558E-5
27173	1.2199320663423558E-5
27174	1.2714343465035381E-5
27175	1.2199320663423558E-5
27176	1.2199320663423558E-5
27177	1.9768315344166374E-6	2433
27178	1.2199320663423558E-5
27179	1.2199320663423558E-5
2718	3.657138338670779E-6	102
27180	1.2199320663423558E-5
27181	1.2199320663423558E-5
27182	1.9768315344166374E-6	4528
27183	1.2199320663423558E-5
27184	1.2199320663423558E-5
27185	1.2199320663423558E-5
27186	1.2199320663423558E-5
27187	1.2199320663423558E-5
27188	1.2199320663423558E-5
27189	1.2199320663423558E-5
2719	1.9768315344166374E-6	5351
27190	1.2199320663423558E-5
27191	1.2199320663423558E-5
27192	1.9768315344166374E-6	2433
27193	1.9768315344166374E-6	19138
27194	1.9768315344166374E-6	2433
27195	1.9768315344166374E-6	2433
27196	1.9768315344166374E-6	2435
27197	1.9768315344166374E-6	2435
27198	1.9768315344166374E-6	2435
27199	1.9768315344166374E-6	2435
272	1.9768315344166374E-6	434
2720	1.9768315344166374E-6	2903
27200	3.657138338670779E-6	2435
27201	1.9768315344166374E-6	2435
27202	1.9768315344166374E-6	2435
27203	1.9768315344166374E-6	15565
27204	1.9768315344166374E-6	2435
27205	1.9768315344166374E-6	2435
27206	1.9768315344166374E-6	2435
27207	1.9768315344166374E-6	2435
27208	1.9768315344166374E-6	2435
27209	1.9768315344166374E-6	2435
2721	1.9768315344166374E-6	2528
27210	1.9768315344166374E-6	2435
27211	1.9768315344166374E-6	5953
27212	1.9768315344166374E-6	2883
27213	1.9768315344166374E-6	2897
27214	1.9768315344166374E-6	5719
27215	1.9768315344166374E-6	118
27216	1.9768315344166374E-6	2437
27217	1.9768315344166374E-6	2437
27218	1.866223916491908E-5	61591
27219	5.0853991222868E-6	2440
2722	1.9768315344166374E-6	29
27220	1.9768315344166374E-6	2440
27221	1.9768315344166374E-6	27218
27222	3.657138338670779E-6	2440
27223	3.657138338670779E-6	18912
27224	1.9768315344166374E-6	2440
